source,target,length,source_x,source_y
29,188,29.058,899966,-5.34331e+06
29,321,29.058,899966,-5.34331e+06
908,907,29.058,901823,-5.34336e+06
908,911,29.058,901823,-5.34336e+06
908,906,29.058,901823,-5.34336e+06
485,480,29.058,883153,-5.34751e+06
485,215,29.058,883153,-5.34751e+06
485,213,29.058,883153,-5.34751e+06
30,29,29.058,900054,-5.34329e+06
30,465,29.058,900054,-5.34329e+06
30,336,29.058,900054,-5.34329e+06
31,65,29.058,917226,-5.33769e+06
31,1077,29.058,917226,-5.33769e+06
31,59,29.058,917226,-5.33769e+06
1084,1082,29.058,881049,-5.34616e+06
1084,1041,29.058,881049,-5.34616e+06
1084,1043,29.058,881049,-5.34616e+06
431,433,29.058,900864,-5.34118e+06
32,33,29.058,884750,-5.34852e+06
33,32,29.058,884770,-5.34851e+06
33,74,29.058,884770,-5.34851e+06
33,567,29.058,884770,-5.34851e+06
848,234,29.058,876113,-5.35036e+06
1086,1082,29.058,880252,-5.34623e+06
425,424,29.058,902223,-5.34164e+06
728,479,29.058,906374,-5.34029e+06
728,501,29.058,906374,-5.34029e+06
728,734,29.058,906374,-5.34029e+06
34,35,29.058,915712,-5.33725e+06
35,34,29.058,915722,-5.33725e+06
35,1229,29.058,915722,-5.33725e+06
35,856,29.058,915722,-5.33725e+06
35,867,29.058,915722,-5.33725e+06
419,422,29.058,914536,-5.33709e+06
419,420,29.058,914536,-5.33709e+06
419,639,29.058,914536,-5.33709e+06
1367,413,29.058,915064,-5.33698e+06
36,727,29.058,906764,-5.34018e+06
37,38,29.058,907025,-5.3409e+06
852,540,29.058,917832,-5.33771e+06
429,379,29.058,900658,-5.34213e+06
429,428,29.058,900658,-5.34213e+06
429,582,29.058,900658,-5.34213e+06
732,729,29.058,902384,-5.34155e+06
1361,1184,29.058,892545,-5.34546e+06
38,37,29.058,907208,-5.34083e+06
38,39,29.058,907208,-5.34083e+06
38,328,29.058,907208,-5.34083e+06
39,38,29.058,907099,-5.34088e+06
39,947,29.058,907099,-5.34088e+06
39,1057,29.058,907099,-5.34088e+06
1028,660,29.058,885925,-5.34566e+06
439,295,29.058,893174,-5.34357e+06
439,441,29.058,893174,-5.34357e+06
439,668,29.058,893174,-5.34357e+06
40,1116,29.058,900474,-5.34239e+06
40,1311,29.058,900474,-5.34239e+06
40,898,29.058,900474,-5.34239e+06
41,1071,29.058,883576,-5.34918e+06
41,42,29.058,883576,-5.34918e+06
41,1074,29.058,883576,-5.34918e+06
856,857,29.058,915683,-5.33726e+06
856,89,29.058,915683,-5.33726e+06
856,35,29.058,915683,-5.33726e+06
1030,584,29.058,900666,-5.34231e+06
433,431,29.058,900505,-5.34129e+06
433,166,29.058,900505,-5.34129e+06
433,1108,29.058,900505,-5.34129e+06
42,41,29.058,883636,-5.34917e+06
42,47,29.058,883636,-5.34917e+06
42,979,29.058,883636,-5.34917e+06
43,44,29.058,900213,-5.34319e+06
427,426,29.058,899629,-5.34245e+06
427,366,29.058,899629,-5.34245e+06
427,361,29.058,899629,-5.34245e+06
1375,1145,29.058,901414,-5.34173e+06
44,43,29.058,900217,-5.34319e+06
44,473,29.058,900217,-5.34319e+06
44,323,29.058,900217,-5.34319e+06
45,46,29.058,905010,-5.34154e+06
860,97,29.058,917851,-5.33658e+06
860,861,29.058,917851,-5.33658e+06
860,100,29.058,917851,-5.33658e+06
437,436,29.058,882149,-5.34961e+06
437,564,29.058,882149,-5.34961e+06
437,398,29.058,882149,-5.34961e+06
1369,92,29.058,909590,-5.34012e+06
46,45,29.058,905063,-5.34153e+06
46,476,29.058,905063,-5.34153e+06
46,1035,29.058,905063,-5.34153e+06
47,48,29.058,883474,-5.34922e+06
47,42,29.058,883474,-5.34922e+06
47,562,29.058,883474,-5.34922e+06
1036,962,29.058,911614,-5.3402e+06
1036,286,29.058,911614,-5.3402e+06
1036,598,29.058,911614,-5.3402e+06
447,515,29.058,882937,-5.34745e+06
447,487,29.058,882937,-5.34745e+06
447,209,29.058,882937,-5.34745e+06
48,187,29.058,883498,-5.3492e+06
48,47,29.058,883498,-5.3492e+06
48,561,29.058,883498,-5.3492e+06
49,462,29.058,899923,-5.34332e+06
49,473,29.058,899923,-5.34332e+06
49,925,29.058,899923,-5.34332e+06
49,71,29.058,899923,-5.34332e+06
928,79,29.058,897745,-5.34329e+06
928,952,29.058,897745,-5.34329e+06
928,146,29.058,897745,-5.34329e+06
1038,985,29.058,899950,-5.34145e+06
