Time,VehicleID,EdgeID,LaneIndex,Speed_mps,Accel_mps2,Pos_m,RouteIndex,WaitTime_s,OriginID,DestID
0,0,1378,0,30.0337,0.336611,3.00337,0,0,656,102
0,1,842,0,30.0317,0.316888,3.00317,0,0,361,663
0,2,1340,0,30.0292,0.292195,3.00292,0,0,640,248
0,3,17,0,30.0338,0.337963,3.00338,0,0,12,364
0,4,507,0,30.0333,0.333498,3.00333,0,0,207,20
0,5,314,0,30.0317,0.317315,3.00317,0,0,129,228
0,6,526,0,30.0326,0.325889,3.00326,0,0,215,261
0,7,1298,0,30.0337,0.336535,3.00337,0,0,609,399
0,8,997,1,30.0327,0.326967,3.00327,0,0,432,513
0,9,1052,0,30.0336,0.336432,3.00336,0,0,467,61
0,10,1162,0,30.032,0.320072,3.0032,0,0,536,450
0,11,1323,1,30.0333,0.332643,3.00333,0,0,626,536
0,12,265,0,30.0339,0.338529,3.00339,0,0,110,640
0,13,349,0,30.0314,0.314376,3.00314,0,0,143,641
0.1,0,1378,0,30.0668,0.331378,6.01005,0,0,656,102
0.1,1,842,0,30.0629,0.311834,6.00946,0,0,361,663
0.1,2,1340,0,30.058,0.287342,6.00872,0,0,640,248
0.1,3,17,0,30.0671,0.332716,6.01009,0,0,12,364
0.1,4,507,0,30.0662,0.328295,6.00995,0,0,207,20
0.1,5,314,0,30.063,0.312258,6.00947,0,0,129,228
0.1,6,526,0,30.0647,0.320757,6.00973,0,0,215,261
0.1,7,1298,0,30.0668,0.331302,6.01004,0,0,609,399
0.1,8,997,1,30.0649,0.321825,6.00976,0,0,432,513
0.1,9,1052,0,30.0668,0.3312,6.01004,0,0,467,61
0.1,10,1162,0,30.0635,0.314991,6.00955,0,0,536,450
0.1,11,1323,1,30.066,0.327448,6.00993,0,0,626,536
0.1,12,265,0,30.0672,0.333276,6.0101,0,0,110,640
0.1,13,349,0,30.0624,0.309344,6.00938,0,0,143,641
0.1,18,250,0,30.0336,0.335904,3.00336,0,0,104,498
0.1,19,683,1,30.0231,0.230511,3.00231,0,0,283,302
